"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.107","216.58.208.36","UDP","1392","55247  >  443 Len=1350"
"2","0.003205","192.168.0.107","216.58.208.36","UDP","1392","52604  >  443 Len=1350"
"3","0.106822","216.58.208.36","192.168.0.107","UDP","1392","443  >  55247 Len=1350"
"4","0.107030","216.58.208.36","192.168.0.107","UDP","1392","443  >  52604 Len=1350"
"5","0.108089","192.168.0.107","216.58.208.36","UDP","75","55247  >  443 Len=33"
"6","0.108576","192.168.0.107","216.58.208.36","UDP","75","52604  >  443 Len=33"
"7","0.942064","173.194.76.189","192.168.0.107","UDP","87","443  >  61435 Len=45"
"8","0.964030","192.168.0.107","173.194.76.189","UDP","75","61435  >  443 Len=33"
"9","4.327634","192.168.0.107","10.0.25.10","DNS","91","Standard query 0x2ac5 A browser.pipe.aria.microsoft.com"
"10","4.341180","10.0.25.10","192.168.0.107","DNS","203","Standard query response 0x2ac5 A browser.pipe.aria.microsoft.com CNAME browser.events.data.trafficmanager.net CNAME skypedataprdcolneu00.cloudapp.net A 52.114.77.164"
"11","4.341827","192.168.0.107","52.114.77.164","TCP","78","50590  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=66573965 TSecr=0 SACK_PERM=1"
"12","4.370591","52.114.77.164","192.168.0.107","TCP","74","443  >  50590 [SYN, ACK, ECN] Seq=0 Ack=1 Win=65236 Len=0 MSS=1360 SACK_PERM=1 TSval=2318535023 TSecr=66573965 WS=128"
"13","4.370679","192.168.0.107","52.114.77.164","TCP","66","50590  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0 TSval=66573993 TSecr=2318535023"
"14","4.389405","192.168.0.107","52.114.77.164","TLSv1.2","583","Client Hello"
"15","4.457915","192.168.0.107","31.13.84.51","TLSv1.2","958","Application Data"
"16","4.466778","52.114.77.164","192.168.0.107","TCP","66","443  >  50590 [ACK] Seq=1 Ack=518 Win=64512 Len=0 TSval=2318535119 TSecr=66574011"
"17","4.509674","192.168.0.107","31.13.84.51","TLSv1.2","185","Application Data"
"18","4.524133","192.168.0.107","10.0.25.10","DNS","76","Standard query 0xc663 A web.whatsapp.com"
"19","4.537485","10.0.25.10","192.168.0.107","DNS","129","Standard query response 0xc663 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 31.13.84.51"
"20","4.537774","192.168.0.107","31.13.84.51","TCP","78","50591  >  443 [SYN, ECN, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=66574156 TSecr=0 SACK_PERM=1"
"21","4.550234","31.13.84.51","192.168.0.107","TCP","66","443  >  50379 [ACK] Seq=1 Ack=893 Win=315 Len=0 TSval=2221734608 TSecr=66574079"
"22","4.556847","52.114.77.164","192.168.0.107","TCP","1354","443  >  50590 [ACK] Seq=1 Ack=518 Win=64512 Len=1288 TSval=2318535224 TSecr=66574011 [TCP segment of a reassembled PDU]"
"23","4.557185","52.114.77.164","192.168.0.107","TCP","1354","443  >  50590 [ACK] Seq=1289 Ack=518 Win=64512 Len=1288 TSval=2318535224 TSecr=66574011 [TCP segment of a reassembled PDU]"
"24","4.557236","192.168.0.107","52.114.77.164","TCP","66","50590  >  443 [ACK] Seq=518 Ack=2577 Win=129728 Len=0 TSval=66574174 TSecr=2318535224"
"25","4.558864","52.114.77.164","192.168.0.107","TCP","1354","443  >  50590 [ACK] Seq=2577 Ack=518 Win=64512 Len=1288 TSval=2318535224 TSecr=66574011 [TCP segment of a reassembled PDU]"
"26","4.559200","52.114.77.164","192.168.0.107","TCP","1354","443  >  50590 [ACK] Seq=3865 Ack=518 Win=64512 Len=1288 TSval=2318535224 TSecr=66574011 [TCP segment of a reassembled PDU]"
"27","4.559256","192.168.0.107","52.114.77.164","TCP","66","50590  >  443 [ACK] Seq=518 Ack=5153 Win=129728 Len=0 TSval=66574176 TSecr=2318535224"
"28","4.560639","52.114.77.164","192.168.0.107","TLSv1.2","1157","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"29","4.560723","192.168.0.107","52.114.77.164","TCP","66","50590  >  443 [ACK] Seq=518 Ack=6244 Win=129920 Len=0 TSval=66574177 TSecr=2318535224"
"30","4.563674","192.168.0.107","52.114.77.164","TLSv1.2","159","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"31","4.581786","52.114.77.164","192.168.0.107","TCP","66","443  >  50590 [ACK] Seq=6244 Ack=611 Win=64512 Len=0 TSval=2318535242 TSecr=66574179"
"32","4.614199","31.13.84.51","192.168.0.107","TCP","66","443  >  50379 [ACK] Seq=1 Ack=1012 Win=315 Len=0 TSval=2221734661 TSecr=66574129"
"33","4.626721","31.13.84.51","192.168.0.107","TCP","74","443  >  50591 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=3689109484 TSecr=66574156 WS=256"
"34","4.626797","192.168.0.107","31.13.84.51","TCP","66","50591  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0 TSval=66574241 TSecr=3689109484"
"35","4.627087","192.168.0.107","31.13.84.51","TLSv1.3","583","Client Hello"
"36","4.655273","52.114.77.164","192.168.0.107","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"37","4.655343","192.168.0.107","52.114.77.164","TCP","66","50590  >  443 [ACK] Seq=611 Ack=6295 Win=131008 Len=0 TSval=66574269 TSecr=2318535314"
"38","4.655718","192.168.0.107","52.114.77.164","TLSv1.2","868","Application Data"
"39","4.655923","192.168.0.107","52.114.77.164","TCP","1414","50590  >  443 [ACK] Seq=1413 Ack=6295 Win=131072 Len=1348 TSval=66574269 TSecr=2318535314 [TCP segment of a reassembled PDU]"
"40","4.655925","192.168.0.107","52.114.77.164","TCP","1414","50590  >  443 [ACK] Seq=2761 Ack=6295 Win=131072 Len=1348 TSval=66574269 TSecr=2318535314 [TCP segment of a reassembled PDU]"
"41","4.656005","192.168.0.107","52.114.77.164","TCP","1414","50590  >  443 [ACK] Seq=4109 Ack=6295 Win=131072 Len=1348 TSval=66574269 TSecr=2318535314 [TCP segment of a reassembled PDU]"
"42","4.676061","31.13.84.51","192.168.0.107","TLSv1.2","99","Application Data"
"43","4.676170","192.168.0.107","31.13.84.51","TCP","66","50379  >  443 [ACK] Seq=1012 Ack=34 Win=2047 Len=0 TSval=66574289 TSecr=2221734720"
"44","4.697374","52.114.77.164","192.168.0.107","TCP","66","443  >  50590 [ACK] Seq=6295 Ack=1413 Win=64256 Len=0 TSval=2318535356 TSecr=66574269"
"45","4.697379","52.114.77.164","192.168.0.107","TCP","66","443  >  50590 [ACK] Seq=6295 Ack=4109 Win=63360 Len=0 TSval=2318535356 TSecr=66574269"
"46","4.697562","52.114.77.164","192.168.0.107","TCP","66","443  >  50590 [ACK] Seq=6295 Ack=5457 Win=62336 Len=0 TSval=2318535356 TSecr=66574269"
"47","4.697585","192.168.0.107","52.114.77.164","TCP","1414","50590  >  443 [ACK] Seq=5457 Ack=6295 Win=131072 Len=1348 TSval=66574310 TSecr=2318535356 [TCP segment of a reassembled PDU]"
"48","4.697586","192.168.0.107","52.114.77.164","TCP","1414","50590  >  443 [ACK] Seq=6805 Ack=6295 Win=131072 Len=1348 TSval=66574310 TSecr=2318535356 [TCP segment of a reassembled PDU]"
"49","4.697587","192.168.0.107","52.114.77.164","TCP","1414","50590  >  443 [ACK] Seq=8153 Ack=6295 Win=131072 Len=1348 TSval=66574310 TSecr=2318535356 [TCP segment of a reassembled PDU]"
