"No.","Time","Source","Destination","Protocol","Length","Info"
"225","3.869481","216.58.212.170","192.168.0.100","TCP","66","443  >  52020 [ACK] Seq=1 Ack=61 Win=502 Len=0 TSval=1864121364 TSecr=330882510"
"226","3.869487","216.58.212.170","192.168.0.100","TCP","66","443  >  52020 [ACK] Seq=1 Ack=100 Win=502 Len=0 TSval=1864121364 TSecr=330882510"
"227","3.869921","216.58.212.170","192.168.0.100","TCP","66","443  >  52020 [ACK] Seq=1 Ack=818 Win=502 Len=0 TSval=1864121365 TSecr=330882510"
"228","3.912168","54.187.107.148","192.168.0.100","TLSv1.2","148","Application Data"
"229","3.912272","192.168.0.100","54.187.107.148","TCP","66","52035  >  443 [ACK] Seq=5438 Ack=8819 Win=130944 Len=0 TSval=330882568 TSecr=455874085"
"230","3.912464","192.168.0.100","54.187.107.148","TLSv1.2","116","Application Data"
"231","3.914796","54.187.107.148","192.168.0.100","TLSv1.2","295","Application Data"
"232","3.914803","54.187.107.148","192.168.0.100","TLSv1.2","577","Application Data, Application Data, Application Data, Application Data, Application Data"
"233","3.914923","192.168.0.100","54.187.107.148","TCP","66","52035  >  443 [ACK] Seq=5488 Ack=9048 Win=130816 Len=0 TSval=330882570 TSecr=455874089"
"234","3.914924","192.168.0.100","54.187.107.148","TCP","66","52035  >  443 [ACK] Seq=5488 Ack=9559 Win=130304 Len=0 TSval=330882570 TSecr=455874089"
"235","3.915283","192.168.0.100","54.187.107.148","TLSv1.2","116","Application Data"
"236","3.924358","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=5488 Win=64256 Len=0 TSval=455874098 TSecr=330882568"
"237","3.924363","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=5538 Win=64256 Len=0 TSval=455874098 TSecr=330882570"
"238","3.926228","216.58.212.170","192.168.0.100","TLSv1.2","105","Application Data"
"239","3.926350","192.168.0.100","216.58.212.170","TCP","66","52020  >  443 [ACK] Seq=818 Ack=40 Win=2047 Len=0 TSval=330882580 TSecr=1864121421"
"240","3.935889","17.253.57.204","192.168.0.100","TCP","1414","80  >  52036 [ACK] Seq=1 Ack=301 Win=64896 Len=1348 TSval=1637559376 TSecr=330882428 [TCP segment of a reassembled PDU]"
"241","3.950079","216.58.212.170","192.168.0.100","TLSv1.2","894","Application Data, Application Data"
"242","3.950089","216.58.212.170","192.168.0.100","TLSv1.2","105","Application Data"
"243","3.950205","192.168.0.100","216.58.212.170","TCP","66","52020  >  443 [ACK] Seq=818 Ack=868 Win=2035 Len=0 TSval=330882603 TSecr=1864121443"
"244","3.950241","192.168.0.100","216.58.212.170","TCP","66","52020  >  443 [ACK] Seq=818 Ack=907 Win=2034 Len=0 TSval=330882603 TSecr=1864121444"
"245","3.951873","192.168.0.100","216.58.212.170","TLSv1.2","105","Application Data"
"246","3.962344","216.58.212.170","192.168.0.100","TCP","66","443  >  52020 [ACK] Seq=907 Ack=857 Win=502 Len=0 TSval=1864121456 TSecr=330882604"
"247","3.991821","17.253.57.204","192.168.0.100","TCP","1414","80  >  52036 [ACK] Seq=1349 Ack=301 Win=64896 Len=1348 TSval=1637559435 TSecr=330882428 [TCP segment of a reassembled PDU]"
"248","3.991831","17.253.57.204","192.168.0.100","OCSP","704","Response"
"249","3.991918","17.253.57.204","192.168.0.100","TCP","66","80  >  52036 [FIN, ACK] Seq=3335 Ack=301 Win=64896 Len=0 TSval=1637559435 TSecr=330882428"
"250","3.991955","192.168.0.100","17.253.57.204","TCP","66","52036  >  80 [ACK] Seq=301 Ack=2697 Win=129664 Len=0 TSval=330882643 TSecr=1637559376"
"251","3.992018","192.168.0.100","17.253.57.204","TCP","66","52036  >  80 [ACK] Seq=301 Ack=3335 Win=129024 Len=0 TSval=330882643 TSecr=1637559435"
"252","3.992018","192.168.0.100","17.253.57.204","TCP","66","52036  >  80 [ACK] Seq=301 Ack=3336 Win=129024 Len=0 TSval=330882643 TSecr=1637559435"
"253","3.992260","192.168.0.100","17.253.57.204","TCP","66","52036  >  80 [FIN, ACK] Seq=301 Ack=3336 Win=131072 Len=0 TSval=330882643 TSecr=1637559435"
"254","4.015317","17.253.57.204","192.168.0.100","TCP","66","80  >  52036 [ACK] Seq=3336 Ack=302 Win=64896 Len=0 TSval=1637559457 TSecr=330882643"
"255","4.108132","192.168.0.100","54.187.107.148","TLSv1.2","268","Application Data"
"256","4.108206","192.168.0.100","54.187.107.148","TLSv1.2","273","Application Data"
"257","4.109758","192.168.0.100","54.187.107.148","TLSv1.2","315","Application Data"
"258","4.109814","192.168.0.100","54.187.107.148","TLSv1.2","379","Application Data"
